site,sp,area,rem,dts
CCP,cta,27.16,0,0
CCP,cta,26.9,0,0
CCP,cta,26.86,0,0
CCP,cta,25.93,0,0
CCP,cta,25.73,0,0
CCP,cta,25.39,0,0
CCP,cta,23.84,0,0
CCP,cta,22.7,0,0
CCP,cta,22.34,0,0
CCP,cta,19.13,0,0
CCP,cta,19.05,0,0
CCP,cta,18.49,0,0
CCP,cta,18.3,0,0
CCP,cta,17.37,0,0
CCP,cta,17.1,0,0
CCP,cta,16.69,0,0
CCP,cta,16.43,0,0
CCP,cta,16.41,0,0
CCP,cta,16,0,0
CCP,cta,14.89,0,0
CCP,cta,14.63,0,0
CCP,cta,14.48,0,0
CCP,cta,14.43,0,0
CCP,cta,14.01,0,0
CCP,cta,13.61,0,0
CCP,cta,13.3,0,0
CCP,cta,11.92,0,0
CCP,cta,11.88,0,0
CCP,cta,11.74,0,0
CCP,cta,10.74,0,0
CCP,cta,10.36,0,0
CCP,cta,10.33,0,0
CCP,cta,10.25,0,0
CCP,cta,9.95,0,0
CCP,cta,9.58,0,0
CCP,cta,9.48,0,0
CCP,cta,9.37,0,0
CCP,cta,9.25,0,0
CCP,cta,8.97,0,0
CCP,cta,8.57,0,0
CCP,cta,8.06,0,0
CCP,cta,7.97,0,0
CCP,cta,7.92,0,0
CCP,cta,7.87,0,0
CCP,cta,7.5,0,0
CCP,cta,7.18,0,0
CCP,cta,7.03,0,0
CCP,cta,6.98,0,0
CCP,cta,6.93,0,0
CCP,cta,6.92,0,0
CCP,cta,6.54,0,0
CCP,cta,6.48,0,0
CCP,cta,6.34,0,0
CCP,cta,6.19,0,0
CCP,cta,5.97,0,0
CCP,cta,5.63,0,0
CCP,cta,5.55,0,0
CCP,cta,5.53,0,0
CCP,cta,5.45,0,0
CCP,cta,5.38,0,0
CCP,cta,5.24,0,0
CCP,cta,5.08,0,0
CCP,cta,4.99,0,0
CCP,cta,4.89,0,0
CCP,cta,4.79,0,0
CCP,cta,4.64,0,0
CCP,cta,4.46,0.011210762,0
CCP,cta,4.29,0,0
CCP,cta,4.26,0,0
CCP,cta,4.24,0,0
CCP,cta,4.22,0,0
CCP,cta,4.12,0,0
CCP,cta,4.11,0,0
CCP,cta,4.08,0,0
CCP,cta,4.06,0,0
CCP,cta,4.04,0,0
