"","code","DENV","YFV","forest_area","forest_loss","area","x","y","mean_elevation","population","avg.rainfall","dryseason","percent_forest","percent_forest_loss","YFVoccurence","DENVprevalence"
"11","1300680",2,0,209271.981309421,132.07704966758,2598.35735727053,-57.6701019878695,-3.13803275734613,26.1583516568798,17248,185.7694825,4,80.540107666042,0.000631126292402692,0,1.1595547309833e-05
"12","1300706",35,0,2102429.07773179,1232.38534731881,22042.5427655306,-68.0480023988839,-8.77291155150188,169.739845519274,33148,179.4968318,4,95.3805148569113,0.000586172137919804,0,0.000105587064076264
"13","1300805",405,1,4249673.81846095,248.602306544175,44445.2674148747,-59.5347619984968,-4.9568806428012,59.8630901327718,38688,211.1482131,3,95.6158904117358,5.84991500910551e-05,1,0.00104683622828784
"14","1300839",5,0,912898.259555499,121.220383166879,9498.70269314894,-61.8777750117701,-3.08198887080668,46.8300560206636,12214,216.4791005,0,96.1076779689019,0.000132786301099865,0,4.09366300966104e-05
"15","1300904",1,0,2882279.09720924,663.570018020751,29946.925429444,-64.0968931345208,-7.4023789943114,82.4329524370227,14944,205.9523501,3,96.2462441762174,0.00023022406770505,0,6.69164882226981e-06
"16","1301001",1,0,2528732.75569026,81.4548462451295,25880.5855787889,-67.3370708863659,-5.11877341959929,107.74769236352,27645,241.8310022,1,97.7077102058598,3.22117258385001e-05,0,3.61729064930367e-06
"17","1301100",81,0,556588.465434204,365.750130109493,6118.57707642587,-60.1832419744366,-3.77078244651177,34.1411311584905,35938,202.4613768,3,90.9669778580826,0.000657128476106965,0,0.000225388168512438
"18","1301159",2,0,164506.818821163,291.941551302644,2642.83540481313,-59.5998321494441,-3.28614533787015,21.6306390690382,27357,181.4883371,4,62.2463353266583,0.00177464711429389,0,7.31074313703988e-06
"19","1301209",1060,1,5534128.99077669,263.251304674047,58177.2239631721,-64.1240823324063,-4.43697334715568,66.6094553292025,82209,218.7496675,1,95.1253534249066,4.75686969192058e-05,1,0.00128939653809194
"20","1301308",143,2,1729305.7063133,110.730321011918,18794.6897470618,-62.9733921672585,-3.28907765269583,47.7829873980727,26242,222.3681975,0,92.0103353439843,6.4031663463358e-05,1,0.000544927978050454
"21","1301407",5,0,1464506.6600131,142.190356207926,15076.0649399053,-70.2216269220289,-7.02280274779298,175.185427151276,33580,200.1259432,3,97.1411748258422,9.7090959085604e-05,0,1.48898153662895e-05
"22","1301506",2,0,735918.993192771,183.048569961059,7531.04307199532,-70.0550080696762,-7.57367155200914,182.929353569022,18422,186.3988974,4,97.7180698818913,0.000248734672775472,0,1.08565845185105e-05
"23","1301704",1119,0,3130921.33388528,389.503682150754,33212.8150596488,-62.4854357881714,-7.36231932076809,70.9314801146362,50230,207.6875821,3,94.2684722226126,0.000124405451499289,0,0.0022277523392395
"24","1301852",17,2,173579.305279455,139.913841018339,2224.10583460379,-60.4804771520099,-3.09513756097668,44.7343472106276,45250,182.9184293,3,78.044534832299,0.000806051394162937,1,3.75690607734807e-05
"25","1301902",946,1,653908.063002481,508.831803768879,8931.59565141474,-58.7773867816049,-3.17463417280123,35.5147575158269,95714,179.8398676,4,73.2129048966636,0.000778139669103527,1,0.000988361159287043
"26","1302108",1,0,5425099.37160628,39.6994587656501,56041.7760190488,-68.3206474514539,-1.69809110258504,106.737245434181,5599,269.2116048,0,96.804558259579,7.31773854197545e-06,0,1.7860332202179e-05
"27","1302207",1,0,1861978.64173573,60.1617893116875,19486.7405235255,-66.3068434286559,-3.5246964194939,77.1246086792156,12807,246.0303332,0,95.5510563445867,3.23106763757531e-05,0,7.8082298742875e-06
"28","1302306",2,0,6829283.36693804,103.318431572608,69857.4763601459,-68.4016345930195,-4.71210862241696,122.75225403076,16977,246.7480163,0,97.7602358798376,1.51287369437317e-05,0,1.17806444012487e-05
"29","1302405",379,0,6620240.82261766,2542.5297678811,68520.6190607186,-65.8114986035066,-8.37546484941583,121.816575502756,42439,188.7633311,4,96.6167689867371,0.000384053969637282,0,0.000893046490256604
"30","1302504",301,1,572636.868254231,313.97504839701,7362.65072854768,-60.9584567293401,-3.29138531695079,33.1787112799532,92996,192.1471633,3,77.7759110633769,0.000548296950132131,1,0.000323669835261732
"31","1302553",17,0,364101.331738147,156.784100327389,3993.37652690422,-60.6970258822753,-3.7788996571459,34.223003470177,27480,211.9891754,1,91.176308891766,0.000430605676664056,0,6.1863173216885e-05
